Temperament,Height,Weight,Life Expectancy,breed,link
"Confident, Famously Funny, Fearless",9-11.5 inches,7-10 pounds,12-15 years,Affenpinscher,https://www.akc.org/dog-breeds/affenpinscher/
"Dignified, Profoundly Loyal, Aristocratic",25-27 inches,50-60 pounds,12-15 years,Afghan Hound,https://www.akc.org/dog-breeds/afghan-hound/
"Friendly, Clever, Courageous",23 inches,50-70 pounds,11-14 years,Airedale Terrier,https://www.akc.org/dog-breeds/airedale-terrier/
"Courageous, Dignified, Profoundly Loyal","26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,Akita,https://www.akc.org/dog-breeds/akita/
"Affectionate, Loyal, Playful","25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Alaskan Malamute,https://www.akc.org/dog-breeds/alaskan-malamute/
"Loyal, Self-Confident",22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years,American Bulldog,https://www.akc.org/dog-breeds/american-bulldog/
"Sweet, Mellow, Sociable","24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,American English Coonhound,https://www.akc.org/dog-breeds/american-english-coonhound/
"Playful, Perky, Smart","9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,American Eskimo Dog,https://www.akc.org/dog-breeds/american-eskimo-dog/
"Independent, Easy-Going, Sweet-Tempered","22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,American Foxhound,https://www.akc.org/dog-breeds/american-foxhound/
"Energetic, Alert, Curious",12-16 inches,12-16 pounds,14-16 years,American Hairless Terrier,https://www.akc.org/dog-breeds/american-hairless-terrier/
"Sociable, Energetic, Intelligent",21-27 inches,45-70 pounds,12-15 years,American Leopard Hound,https://www.akc.org/dog-breeds/american-leopard-hound/
